CODGP_LINEA;CODGP;Línea de Investigación
COL00057621;COL0005762;Construcción sostenible y resiliencia de la infraestructura al cambio y variabilidad climática
COL00057622;COL0005762;Diseńo de política y planeación energética
COL00057623;COL0005762;Eficiencia Energética
COL00057624;COL0005762;Evolucion del Sector Electrico Colombiano
COL00057625;COL0005762;Fuentes no convencionales de energía
COL00057626;COL0005762;Gestión Energética
COL00057627;COL0005762;Mitigación y adaptación al cambio climático
COL00057628;COL0005762;Vigilancia tecnológica y prospectiva en equipos de uso final de la energía
COL00108891;COL0010889;Alimentos
COL00108892;COL0010889;Ambiental
COL00108893;COL0010889;Biomasa y Biocombustibles
COL00108894;COL0010889;Biotecnologia y Bioprocesos
COL00108895;COL0010889;Catálisis y Procesos Catalíticos
COL00108896;COL0010889;Educación
COL00108897;COL0010889;Especialidades Químicas
COL00108898;COL0010889;Gestión
COL00108899;COL0010889;Materiales
COL001088910;COL0010889;Modelamiento y Simulación
COL001088911;COL0010889;Nuevas Tecnologías
COL001088912;COL0010889;Oleoquímica
COL001088913;COL0010889;Polímeros y Procesos de Polimerización
COL00008821;COL0000882;Calidad toxicológica y microbiológica de aguas
COL00008822;COL0000882;Contaminantes emergentes
COL00008823;COL0000882;Destino ambiental de contaminantes
COL00008824;COL0000882;Potabilización de aguas
COL00008825;COL0000882;Tratamiento y re-uso de aguas residuales
COL00211391;COL0021139;Automatización de máquinas - robots procesos
COL00211392;COL0021139;Diseńo de productos y procesos industriales y preseries
COL00211393;COL0021139;Manufactura Flexible
COL00211394;COL0021139;Prototipado rápido y materiales en gradiente
COL00211395;COL0021139;Realidad y Manufactura Virtual
COL00211396;COL0021139;Repotenciación tecnológica de equipos y procesos industriales
COL00105661;COL0010566;Análisis de tendencias Escaneo, vigilancia y monitoreo y Estudios de Futuros
COL00105662;COL0010566;Biociencias y Gestión
COL00105663;COL0010566;Direccionamiento Estratégico e Inteligencia Tecnológica y organizacional
COL00105664;COL0010566;Gerencia Estratégica Ambiental
COL00105665;COL0010566;Gerencia de proyectos y fortalecimiento Institucional
COL00105666;COL0010566;Gestión Tecnológica
COL00105667;COL0010566;Gestión de la Ciencia, tecnología e Innovación
COL00105668;COL0010566;Productividad y Competitividad
COL00290851;COL0029085;INTEGRIDAD DE EQUIPOS E INSTALACIONES MECÁNICAS
COL00290852;COL0029085;MECANISMOS DE FALLA DE ELEMENTOS MECÁNICOS
COL00290853;COL0029085;NUEVOS MATERIALES
