CODGP_PROD_BIB; CODGP_PROD:Revista; Autor Original; Nombre Libro; ISBN/ISSN; Medio de Divulgación; URL; Fasciculos; Idioma Original; Idioma Traduccion; Edición; Serie; Página Inicial; Página Final    ; 
COL0005762B1;COL00057621;Aardkundige Mededelingen;;;0250-7803;;;;;;;;550;600;
COL0005762B2;COL00057622;Revista Virtual De La Facultad De Ingeniería Y Arquitectura Ingenierí Y Tecnologí;;;2215-8456;;;N/A;;;;;100;200;
COL0005762B3;COL00057623;;;;7897897897;;;;;;;;;;
COL0005762B4;COL00057624;;;;7897897892;;;;;;;;;;
COL0005762B5;COL00057625;;;Prueba;8745698556;;;;;;;;100;;
COL0005762B6;COL00057626;;;Prueba;8745698556;;;;;;;;200;210;
COL0005762B7;COL00057627;;;Test;458745678;;;;;;;;500;;
COL0005762B8;COL00057628;;;Test;458745678;;;;;;;;12;20;
COL0005762B9;COL00057629;;;;;;;;;;;;;;
COL0005762B10;COL000576210;;;;;;mfneirae.com;;;;;;;;
COL0005762B11;COL000576211;;;;;;;;;;;;;;
COL0005762B12;COL000576212;;Autor Test;;;;;;;;;;;;
COL0005762B13;COL000576213;prueba;;;4561-2456;;;2;;;;;45;65;
COL0005762B14;COL000576214;prueba;;;4561-2456;;;;;;;;654;654;
COL0005762B15;COL000576215;;;;9879879879;;;;;;;;;;
COL0005762B16;COL000576216;;;;7894561235;;;;;;;;;;
COL0005762B17;COL000576217;;test article;Test;458745678;Papel;;;Espańol;Bashkir;15;15;;;
COL0005762B18;COL000576218;;Autor de prueba;;;Papel;;;Afar;Espańol;;;;;
